Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,40,FB,,NA,760,005200301293,11.2,23,65,0,X,35,019980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c7e,2024-07-21,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,200KG7W,GSM,,,874.5,829.5,40,FB,,NA,760,007690501705,14.3,26,82,0,X,35,000910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c85,2024-07-21,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,200KG7W,GSM,,,874.5,829.5,180,FB,,NA,760,007690501705,14.3,26,82,0,X,35,000910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c86,2024-07-21,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,180,FB,,NA,760,005200301293,11.2,23,65,0,X,35,019980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c87,2024-07-21,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,200KG7W,GSM,,,874.5,829.5,280,FB,,NA,760,007690501705,14.3,26,82,0,X,35,000910502519,32.5,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c8f,2024-07-21,,
LIC-LIC-01,TELEFONICA BRASIL S.A.,50409146366,010,71842008,64300,"RUA FLORIANO PEIXOTO, 358",,AC,1200401,5M00G9W,WCDMA,,,874.5,829.5,280,FB,,NA,760,005200301293,11.2,23,65,0,X,35,019980701882,40,-9.972025,-67.813556,G,2023-08-05,2000-11-27,,4d5c019f58c90,2024-07-21,,
LIC-LIC-01,CLARO S.A.,50409889580,010,169212022,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,200KG7W,GSM,,,1822.5,1727.5,0,FB,Greenfield,NA,760,,16.6,24,69,-2,X,52,023491603257,40,-9.97103,-67.8166,G,2023-06-29,2003-03-06,,4d5c019f68947,2032-12-22,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,0,FB,Greenfield,NA,760,,14.1,22,68,-2,X,52,011631703257,60,-9.97103,-67.8166,G,2023-06-29,2003-03-06,,4d5c019f6896a,2032-12-22,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,130,FB,Greenfield,NA,760,,14.1,22,68,-2,X,52,011631703257,60,-9.97103,-67.8166,G,2023-06-29,2003-03-06,,4d5c019f6896b,2032-12-22,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,5M00G7W,WCDMA,,,885,840,250,FB,Greenfield,NA,760,,14.1,22,68,-2,X,52,011631703257,60,-9.97103,-67.8166,G,2023-06-29,2003-03-06,,4d5c019f6896c,2032-12-22,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180368,R PERNAMBUCO,"LOTE 422, EM FRENTE AO NÚMERO 247",AC,1200401,200KG7W,GSM,,,1875,1780,0,FB,Greenfield,NA,760,,16.6,24,69,-2,X,52,023491603257,40,-9.97103,-67.8166,G,2023-06-29,2003-03-06,,4d5c019f6896e,2032-12-22,,
LIC-LIC-01,CLARO S.A.,50409889580,010,35352011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1825,1820,350.0,FB,Greenfield,NA,760,019221503257,14.53,27.0,62.03,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f68996,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1880,1870,350.0,FB,Greenfield,NA,760,019221503257,14.53,27.0,62.03,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f68997,2027-07-02,,
LIC-LIC-01,CLARO S.A.,50409889580,010,35352011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1825,1820,140.0,FB,Greenfield,NA,760,021221203701,13.82,28.0,71.92,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f68998,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1880,1870,140.0,FB,Greenfield,NA,760,021221203701,13.82,28.0,71.92,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f68999,2027-07-02,,
LIC-LIC-01,CLARO S.A.,50409889580,010,35352011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1825,1820,250.0,FB,Greenfield,NA,760,021221203701,13.82,28.0,71.92,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f6899a,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,1880,1870,250.0,FB,Greenfield,NA,760,021221203701,13.82,28.0,71.92,1.0,x,73.0,023491603257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f6899e,2027-07-02,,
LIC-LIC-01,CLARO S.A.,50409889580,010,37812011,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,200KG7W,GSM,,,955,952.5,350.0,FB,Greenfield,NA,760,019221503257,14.43,24.0,69.68,1.0,x,73.0,032101503257,40.0,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f6899f,2027-07-02,,
LIC-LIC-01,CLARO S.A.,50409889580,010,1.6942008e+07,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,5M00G7W,WCDMA,,,2135,2125,0.0,FB,Greenfield,NA,760,020270703701,15.37,25.0,70.83,0.0,x,41.0,001131003257,62.8,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f689a1,2023-04-30,,
LIC-LIC-01,CLARO S.A.,50409889580,010,1.6942008e+07,5180376,"R DEZESSEIS, S/N, CONJUNTO MASCARENHA DE MORAES",,AC,1200401,5M00G7W,WCDMA,,,2135,2125,120.0,FB,Greenfield,NA,760,020270703701,15.37,25.0,70.83,0.0,x,41.0,001131003257,62.8,-9.93984,-67.8724,G,2020-09-28,2003-03-06,,4d5c019f689a2,2023-04-30,,
