Status.state,NomeEntidade,NumFistel,NumServico,NumAto,NumEstacao,EnderecoEstacao,EndComplemento,SiglaUf,CodMunicipio,DesignacaoEmissao,Tecnologia,tipoTecnologia,meioAcesso,FreqTxMHz,FreqRxMHz,Azimute,CodTipoClasseEstacao,ClassInfraFisica,CompartilhamentoInfraFisica,CodTipoAntena,CodEquipamentoAntena,GanhoAntena,FrenteCostaAntena,AnguloMeiaPotenciaAntena,AnguloElevacao,Polarizacao,AlturaAntena,CodEquipamentoTransmissor,PotenciaTransmissorWatts,Latitude,Longitude,CodDebitoTFI,DataLicenciamento,DataPrimeiroLicenciamento,NumRede,_id,DataValidade,NumFistelAssociado,NomeEntidadeAssociado
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,1.7012008e+07,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,2165,2155,150.0,FB,,NA,760,007690501705,17.8,35.0,90.00,.00,X,66.0,008041101882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8890,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,1.7012008e+07,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,2165,2155,30.0,FB,,NA,760,034641103518,15.5,25.0,63.00,4.00,X,60.0,008041101882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8891,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,1.7012008e+07,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,2165,2155,150.0,FB,,NA,760,034641103518,15.0,25.0,60.00,.00,X,60.0,008041101882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8892,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,1.7012008e+07,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,2165,2155,270.0,FB,,NA,760,034641103518,15.0,25.0,60.00,.00,X,60.0,008041101882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8893,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,1.7012008e+07,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,2165,2155,270.0,FB,,NA,760,034641103518,15.0,28.0,65.00,.00,X,60.0,008041101882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8894,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,200KG7W,GSM,,,1832.5,1830,270.0,FB,,NA,760,026960904280,16.0,28.0,71.00,8.00,X,80.0,000101201882,74.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8895,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,200KG7W,GSM,,,1865,1860,30.0,FB,,NA,760,026960904280,16.0,27.0,65.00,8.00,X,80.0,000101201882,74.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8896,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,200KG7W,GSM,,,1865,1860,270.0,FB,,NA,760,026960904280,16.0,28.0,71.00,8.00,X,80.0,000101201882,74.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8897,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,200KG7W,GSM,,,1870,1865,30.0,FB,,NA,760,026960904280,16.0,28.0,71.00,8.00,X,80.0,000101201882,74.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8898,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,35312011,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,200KG7W,GSM,,,1870,1865,150.0,FB,,NA,760,026960904280,16.0,27.0,65.00,8.00,X,80.0,000101201882,74.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa8899,2023-04-30,,
LIC-LIC-01,TELEFÔNICA BRASIL S.A.,50409146285,010,52062014,442820496,"RUA GENERAL PENHA BRASIL, 642, SÃO FRANCISCO",,RR,1400100,5M00G7W,WCDMA,,,890,880,270.0,FB,,NA,760,026960904280,16.0,28.0,71.00,8.00,X,80.0,000081201882,40.000,-2.82861,-60.67583,G,2020-11-13,1999-11-23,,4d5c019fa889a,2028-11-29,,
